chr	start	end	name	mutation_count
chr2	133390223	133390633	chr2.133390223.133390633	3
chr2	137173472	137174012	chr2.137173472.137174012	4
chr2	171491319	171492203	chr2.171491319.171492203	9
chr2	177168307	177168805	chr2.177168307.177168805	3
chr2	237213565	237214156	chr2.237213565.237214156	3
chr2	240839271	240839703	chr2.240839271.240839703	6
chr3	46545777	46546368	chr3.46545777.46546368	3
chr3	50274275	50275000	chr3.50274275.50275000	4
chr3	52028708	52029068	chr3.52028708.52029068	3
chr3	72596367	72596756	chr3.72596367.72596756	3
chr3	75687347	75687845	chr3.75687347.75687845	6
chr3	93969465	93969823	chr3.93969465.93969823	3
chr3	122610213	122610593	chr3.122610213.122610593	2
chr3	124409976	124410436	chr3.124409976.124410436	5
chr3	128950570	128950936	chr3.128950570.128950936	1
chr3	133480458	133480842	chr3.133480458.133480842	6
chr3	138079042	138079544	chr3.138079042.138079544	3
chr3	153513262	153513642	chr3.153513262.153513642	1
chr3	184459239	184459848	chr3.184459239.184459848	7
chr4	10010187	10010572	chr4.10010187.10010572	1
chr4	11496285	11496835	chr4.11496285.11496835	5
chr4	46648091	46648622	chr4.46648091.46648622	7
chr4	140037394	140037834	chr4.140037394.140037834	1
chr4	153024042	153024520	chr4.153024042.153024520	6
chr5	10267691	10268118	chr5.10267691.10268118	3
chr5	16897374	16897783	chr5.16897374.16897783	6
chr5	18466079	18466673	chr5.18466079.18466673	7
chr5	71714917	71715358	chr5.71714917.71715358	3
chr5	74579152	74579635	chr5.74579152.74579635	6
chr5	90161467	90161918	chr5.90161467.90161918	3
chr5	116289282	116289762	chr5.116289282.116289762	3
chr5	130871267	130871966	chr5.130871267.130871966	2
chr5	173714668	173715111	chr5.173714668.173715111	3
chr6	5112477	5112994	chr6.5112477.5112994	10
chr6	11236447	11236888	chr6.11236447.11236888	2
chr6	11833865	11834633	chr6.11833865.11834633	5
chr6	17167401	17167823	chr6.17167401.17167823	1
chr6	31122926	31123323	chr6.31122926.31123323	4
chr6	56440438	56440793	chr6.56440438.56440793	2
chr6	89297946	89298424	chr6.89297946.89298424	5
chr6	106490506	106490930	chr6.106490506.106490930	2
chr6	109139044	109139493	chr6.109139044.109139493	4
chr7	1165114	1165539	chr7.1165114.1165539	7
chr7	6926294	6927296	chr7.6926294.6927296	13
chr7	17372245	17372598	chr7.17372245.17372598	1
chr7	23273162	23273754	chr7.23273162.23273754	5
chr7	55345406	55345853	chr7.55345406.55345853	6
chr7	104967637	104968085	chr7.104967637.104968085	6
chr7	108596654	108597038	chr7.108596654.108597038	2
chr7	116630941	116631438	chr7.116630941.116631438	1
chr7	120583867	120584221	chr7.120583867.120584221	4
chr7	121313431	121314619	chr7.121313431.121314619	8
chr7	139875799	139876414	chr7.139875799.139876414	3
chr7	140656557	140657070	chr7.140656557.140657070	2
chr7	142461403	142462031	chr7.142461403.142462031	6
chr7	149558335	149559016	chr7.149558335.149559016	4
chr8	1840813	1841244	chr8.1840813.1841244	5
chr8	2792489	2792874	chr8.2792489.2792874	1
chr8	6900804	6901410	chr8.6900804.6901410	10
chr8	11197366	11197823	chr8.11197366.11197823	6
chr8	22768450	22769084	chr8.22768450.22769084	4
chr8	30699948	30700414	chr8.30699948.30700414	3
chr8	38417189	38417994	chr8.38417189.38417994	2
chr8	41865020	41865383	chr8.41865020.41865383	4
chr8	52695385	52695800	chr8.52695385.52695800	3
chr8	57802379	57802763	chr8.57802379.57802763	2
chr8	98658227	98658647	chr8.98658227.98658647	3
chr8	122828167	122828897	chr8.122828167.122828897	1
chr8	127899270	127899893	chr8.127899270.127899893	8
chr8	129999138	129999596	chr8.129999138.129999596	3
chr8	140797017	140797407	chr8.140797017.140797407	4
chr9	7394134	7394440	chr9.7394134.7394440	10
chr9	35760715	35761149	chr9.35760715.35761149	4
chr9	69207513	69208015	chr9.69207513.69208015	1
chr9	85332526	85332987	chr9.85332526.85332987	4
chr9	97059606	97060094	chr9.97059606.97060094	4
chr9	121440395	121440735	chr9.121440395.121440735	2
chr9	130197914	130198310	chr9.130197914.130198310	5
chr9	134863223	134864776	chr9.134863223.134864776	18
chrX	10486460	10486803	chrX.10486460.10486803	2
chrX	19082606	19083073	chrX.19082606.19083073	5
chrX	40197064	40197506	chrX.40197064.40197506	3
chrX	65995067	65995565	chrX.65995067.65995565	4
chrX	67904233	67904617	chrX.67904233.67904617	6
chrX	112738457	112738881	chrX.112738457.112738881	2
chrX	121047376	121047772	chrX.121047376.121047772	2
chrX	129748271	129748773	chrX.129748271.129748773	2
chrX	153071934	153072655	chrX.153071934.153072655	4
chrX	154431369	154431869	chrX.154431369.154431869	5
chrX	154600273	154600834	chrX.154600273.154600834	9
