#Method	Filename1	Filename2	LenElements1	LenElements2	OverlapCount	DebugCheck	ExpectedOverlap	Enrichment	EnrichPValue	DepletePValue
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/bronchial_epithelial_cell_female_retinoic_acid.unionSet.bed	685471	89003	86564	1.000000	57412.273121	1.507761	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/Caco_2.unionSet.bed	685471	54058	52699	1.000000	35104.681947	1.501196	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/Caki2.unionSet.bed	685471	72339	70393	1.000000	47065.171152	1.495650	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/cardiac_mesoderm_4.unionSet.bed	685471	84917	82690	1.000000	55059.937090	1.501818	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/CD14_positive_monocyte_female_1.unionSet.bed	685471	42622	41409	1.000000	27999.950661	1.478895	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/cerebellum_male_adult_27_years_35_years.unionSet.bed	685471	39562	38588	1.000000	25596.550168	1.507547	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/CMK.unionSet.bed	685471	161213	154632	1.000000	104218.812875	1.483724	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/dermis_blood_vessel_endothelial_cell_male_newborn_2.unionSet.bed	685471	32515	31866	1.000000	21144.005084	1.507094	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/EH.unionSet.bed	685471	91845	88384	1.000000	59557.780770	1.484004	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/eye_embryo_56_days_male_embryo_76_days.unionSet.bed	685471	143915	139109	1.000000	93172.668893	1.493024	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/femur_female_embryo_98_days.unionSet.bed	685471	107318	104527	1.000000	69713.196690	1.499386	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/fibroblast_of_dermis_female_adult.unionSet.bed	685471	82796	80699	1.000000	54348.086702	1.484854	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/gastrocnemius_medialis_female_adult_51_year.unionSet.bed	685471	92846	90174	1.000000	59744.706247	1.509322	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/gastrocnemius_medialis_male_adult_37_years.unionSet.bed	685471	113976	111216	1.000000	73805.927420	1.506871	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/GM03348_genetically_modified_transduction_doxycycline_10_days.unionSet.bed	685471	58859	57635	1.000000	37975.536251	1.517688	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/GM12864.unionSet.bed	685471	124285	118883	1.000000	80224.186356	1.481885	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/GM12865.unionSet.bed	685471	119570	115081	1.000000	77093.714816	1.492742	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/GM12878_1.unionSet.bed	685471	165404	158472	1.000000	106215.928298	1.491980	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/H1_hESC_1.unionSet.bed	685471	60483	58962	1.000000	38688.739032	1.524009	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/H4.unionSet.bed	685471	83401	80881	1.000000	53889.417825	1.500870	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/HAP_1.unionSet.bed	685471	95506	92444	1.000000	61574.302119	1.501341	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/heart_embryo_80_days.unionSet.bed	685471	60112	58602	1.000000	38876.018552	1.507407	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/heart_male_adult_27_years_35_years.unionSet.bed	685471	75552	73604	1.000000	48467.892175	1.518614	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/HeLa_S3_1.unionSet.bed	685471	70241	67941	1.000000	44866.064098	1.514307	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/HeLa_S3_G1b_phase.unionSet.bed	685471	68126	66377	1.000000	44672.149310	1.485870	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/hematopoietic_multipotent_progenitor_cell_2.unionSet.bed	685471	120120	117414	1.000000	77188.947471	1.521125	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/hepatocyte_from_H9.unionSet.bed	685471	160741	155809	1.000000	103545.687856	1.504737	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/hepatocyte.unionSet.bed	685471	43716	42612	1.000000	28276.809928	1.506959	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/HepG2_1.unionSet.bed	685471	59182	57891	1.000000	38077.879942	1.520331	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/HepG2_3.unionSet.bed	685471	28192	27585	1.000000	18268.335003	1.509990	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/HK_2.unionSet.bed	685471	52548	51217	1.000000	33934.923230	1.509271	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/HT_29.unionSet.bed	685471	94300	91612	1.000000	60577.804461	1.512303	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/inferior_parietal_cortex_male_adult_84_years.unionSet.bed	685471	9426	9238	1.000000	5969.976299	1.547410	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/islet_precursor_cell.unionSet.bed	685471	23796	23409	1.000000	14948.208528	1.566007	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/Jurkat_clone_E61.unionSet.bed	685471	16989	16707	1.000000	10691.435018	1.562653	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/K562_3.unionSet.bed	685471	21936	21594	1.000000	13776.107517	1.567496	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/K562_vorinostat_72_hours.unionSet.bed	685471	11734	11556	1.000000	7386.784239	1.564416	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/keratinocyte_female_1.unionSet.bed	685471	17822	17555	1.000000	11200.069053	1.567401	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/kidney_epithelial_cell.unionSet.bed	685471	17292	17022	1.000000	10883.261492	1.564053	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/L1_S8.unionSet.bed	685471	15434	15137	1.000000	9785.099100	1.546944	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/large_intestine_male_embryo_105_days_2.unionSet.bed	685471	23133	22772	1.000000	14547.939065	1.565308	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/left_lung_male_embryo_115_days.unionSet.bed	685471	47691	46732	1.000000	30520.772747	1.531154	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/left_renal_pelvis_male_embryo_105_days_3.unionSet.bed	685471	43986	42940	1.000000	27870.039065	1.540723	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/LHCN_M2.unionSet.bed	685471	21076	20718	1.000000	13251.120404	1.563490	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/liver_embryo_59_days_80_days.unionSet.bed	685471	11799	11535	1.000000	7619.728480	1.513833	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/liver_female_embryo_101_day_113_days.unionSet.bed	685471	14186	13885	1.000000	9178.033369	1.512851	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/LNCaP_clone_FGC_2.unionSet.bed	685471	15906	15542	1.000000	10164.604239	1.529031	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/mammary_epithelial_cell_female_adult_18_years.unionSet.bed	685471	7239	7083	1.000000	4601.456515	1.539295	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/MCF_10A_tamoxifen_6_hours.unionSet.bed	685471	19618	19165	1.000000	12543.677620	1.527861	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/MCF_7_estradiol_1_hour.unionSet.bed	685471	28795	28332	1.000000	18144.369225	1.561476	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/medulloblastoma.unionSet.bed	685471	23783	23391	1.000000	14964.171967	1.563134	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/MG63.unionSet.bed	685471	11537	11282	1.000000	7510.805449	1.502103	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/MM_1S.unionSet.bed	685471	12815	12530	1.000000	8087.978618	1.549213	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/muscle_of_back_female_embryo_98_days.unionSet.bed	685471	12157	11904	1.000000	7737.286607	1.538524	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/NB4.unionSet.bed	685471	18914	18524	1.000000	12064.676526	1.535391	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/neural_stem_progenitor_cell_from_H1_hESC.unionSet.bed	685471	32728	31777	1.000000	20719.762731	1.533657	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/omental_fat_pad_female_adult_51_year.unionSet.bed	685471	18693	18260	1.000000	11991.834280	1.522703	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/ovary_female_adult_30_years.unionSet.bed	685471	24328	23809	1.000000	15424.836492	1.543550	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/PC_3.unionSet.bed	685471	33717	32883	1.000000	21541.549777	1.526492	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/PC_9.unionSet.bed	685471	10241	10012	1.000000	6527.617855	1.533791	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/Peyers_patch_male_adult_54_years.unionSet.bed	685471	25918	25275	1.000000	16336.615906	1.547138	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/placenta_embryo_102_days.unionSet.bed	685471	45768	44894	1.000000	29035.379502	1.546183	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/placenta_female_embryo_101_day_male_embryo_105_days.unionSet.bed	685471	22399	21999	1.000000	14197.952677	1.549449	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/retinal_pigment_epithelial_cell.unionSet.bed	685471	18758	18425	1.000000	11803.221581	1.561014	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/sigmoid_colon_female_adult_51_year.unionSet.bed	685471	21216	20849	1.000000	13310.668407	1.566338	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/SJCRH30_2.unionSet.bed	685471	31559	30919	1.000000	19866.086994	1.556371	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/SK_MEL_5_1.unionSet.bed	685471	12670	12437	1.000000	8066.146329	1.541876	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/SK_N_DZ_dimethyl_sulfoxide_72_hours.unionSet.bed	685471	27979	27492	1.000000	17764.172636	1.547609	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/SK_N_MC.unionSet.bed	685471	13287	13056	1.000000	8388.067682	1.556497	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/spleen_embryo_112_days.unionSet.bed	685471	27645	27125	1.000000	17396.577234	1.559215	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/spleen_male_adult_54_years.unionSet.bed	685471	17270	16965	1.000000	10892.924479	1.557433	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/stomach_male_adult_34_years.unionSet.bed	685471	13066	12842	1.000000	8251.140875	1.556391	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/stomach_male_adult_54_years.unionSet.bed	685471	16409	16117	1.000000	10330.812982	1.560090	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/stomach_male_embryo_127_days.unionSet.bed	685471	11425	11182	1.000000	7247.642421	1.542847	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/T47D_estradiol_30_minutes.unionSet.bed	685471	23380	22999	1.000000	14749.578537	1.559299	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/T_cell_male_adult_36_years.unionSet.bed	685471	30793	30044	1.000000	19303.188433	1.556427	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/testis_male_adult_54_years.unionSet.bed	685471	23877	23468	1.000000	15072.819814	1.556975	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/T_helper_1_cell.unionSet.bed	685471	22937	22442	1.000000	14496.205969	1.548129	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/T_helper_2_cell_male_adult_33_years.unionSet.bed	685471	12366	12140	1.000000	8007.723705	1.516036	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/thyroid_gland_male_adult_54_years.unionSet.bed	685471	15436	15206	1.000000	9717.748019	1.564766	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/tibial_artery_male_adult_37_years.unionSet.bed	685471	32878	32125	1.000000	20617.074718	1.558174	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/transverse_colon_female_adult_51_year.unionSet.bed	685471	20136	19631	1.000000	12881.262774	1.523997	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/urinary_bladder_male_embryo_76_days.unionSet.bed	685471	38001	37048	1.000000	24027.209098	1.541919	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/vagina_female_adult_51_year.unionSet.bed	685471	21088	20714	1.000000	13252.650771	1.563008	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/WERI_Rb_1.unionSet.bed	685471	18928	18614	1.000000	11959.495960	1.556420	0.000000e+00	1.000000e+00
