hCONDEL_ID	panTro4_mpra_chr	panTro4_mpra_start_pos	panTro4_mpra_end_pos	hg38_mpra_chr	hg38_mpra_start_pos	hg38_mpra_end_pos
hCONDEL_35	chr1	14355258	14355458	chr1	14268558	14268757
hCONDEL_36	chr1	14355492	14355692	chr1	14268791	14268988
hCONDEL_37	chr1	14451503	14451703	chr1	14363155	14363351
hCONDEL_38	chr1	14747707	14747907	chr1	14647108	14647307
hCONDEL_39	chr1	15973835	15974035	chr1	15851367	15851564
hCONDEL_40	chr1	16376172	16376372	chr1	16246765	16246960
hCONDEL_41	chr1	19612209	19612409	chr1	19657157	19657356
hCONDEL_42	chr1	19714424	19714624	chr1	19747424	19747623
hCONDEL_43	chr1	20763526	20763726	chr1	20779893	20780090
hCONDEL_44	chr1	22478752	22478952	chr1	22480289	22480487
hCONDEL_45	chr1	22920471	22920671	chr1	22914458	22914657
hCONDEL_46	chr1	23356403	23356603	chr1	23340240	23340439
hCONDEL_47	chr1	23772164	23772364	chr1	23759681	23759878
hCONDEL_48	chr1	23772614	23772814	chr1	23760128	23760324
hCONDEL_49	chr1	23807333	23807533	chr1	23791095	23791293
hCONDEL_50	chr1	24001230	24001430	chr1	23969955	23970153
hCONDEL_51	chr1	24515181	24515381	chr1	24475268	24475464
hCONDEL_52	chr1	24841161	24841361	chr1	24801832	24802029
hCONDEL_53	chr1	24924271	24924471	chr1	24883627	24883824
hCONDEL_54	chr1	25191850	25192050	chr1	25146268	25146465
hCONDEL_55	chr1	25639742	25639942	chr1	25648759	25648955
hCONDEL_56	chr1	25730654	25730854	chr1	25739289	25739487
hCONDEL_57	chr1	25795155	25795355	chr1	25803164	25803361
hCONDEL_58	chr1	25916922	25917122	chr1	25922434	25922633
hCONDEL_59	chr1	26125679	26125879	chr1	26123381	26123579
hCONDEL_60	chr1	26681483	26681683	chr1	26675451	26675650
hCONDEL_61	chr1	26800982	26801182	chr1	26790415	26790614
hCONDEL_62	chr1	26945622	26945822	chr1	26942583	26942780
hCONDEL_63	chr1	27439948	27440148	chr1	27433483	27433680
hCONDEL_64	chr1	27525919	27526119	chr1	27519063	27519261
hCONDEL_65	chr1	27771116	27771316	chr1	27763051	27763250
hCONDEL_66	chr1	27985943	27986143	chr1	27973722	27973921
hCONDEL_67	chr1	28346367	28346567	chr1	28326592	28326791
hCONDEL_68	chr1	28445004	28445204	chr1	28415593	28415791
hCONDEL_69	chr1	28543784	28543984	chr1	28512432	28512627
hCONDEL_70	chr1	28912887	28913087	chr1	28860805	28861004
hCONDEL_71	chr1	29114484	29114684	chr1	29060164	29060360
hCONDEL_72	chr1	29114625	29114825	chr1	29060301	29060500
hCONDEL_73	chr1	29797377	29797577	chr1	29729127	29729323
hCONDEL_74	chr1	30742321	30742521	chr1	30664487	30664686
hCONDEL_75	chr1	31879358	31879558	chr1	31755296	31755494
hCONDEL_76	chr1	31965506	31965706	chr1	31837889	31838088
hCONDEL_77	chr1	31972697	31972897	chr1	31845359	31845557
hCONDEL_78	chr1	32035313	32035513	chr1	31906985	31907184
hCONDEL_79	chr1	32118966	32119166	chr1	31989855	31990054
hCONDEL_80	chr1	32367246	32367446	chr1	32232079	32232278
hCONDEL_81	chr1	32470897	32471097	chr1	32333886	32334083
hCONDEL_82	chr1	32493176	32493376	chr1	32353815	32354014
hCONDEL_83	chr1	32663601	32663801	chr1	32489414	32489596
hCONDEL_84	chr1	32863176	32863376	chr1	32680908	32681104
hCONDEL_85	chr1	33331186	33331386	chr1	33146027	33146224
hCONDEL_86	chr1	33446622	33446822	chr1	33258967	33259166
hCONDEL_87	chr1	33537426	33537626	chr1	33349005	33349201
hCONDEL_88	chr1	33679161	33679361	chr1	33488562	33488758
hCONDEL_89	chr1	35026217	35026417	chr1	34839870	34840069
hCONDEL_90	chr1	35119709	35119909	chr1	34929012	34929211
hCONDEL_91	chr1	35382348	35382548	chr1	35184862	35185061
hCONDEL_92	chr1	35382562	35382762	chr1	35185075	35185273
hCONDEL_93	chr1	35400939	35401139	chr1	35203578	35203777
hCONDEL_94	chr1	35522867	35523067	chr1	35325240	35325435
hCONDEL_95	chr1	35984449	35984649	chr1	35781066	35781265
hCONDEL_96	chr1	36006780	36006980	chr1	35809086	35809284
hCONDEL_97	chr1	36053352	36053552	chr1	35854682	35854880
hCONDEL_98	chr1	36126046	36126246	chr1	35923621	35923820
hCONDEL_99	chr1	36193462	36193662	chr1	35990590	35990788
hCONDEL_100	chr1	36519489	36519689	chr1	36304792	36304987
hCONDEL_101	chr1	36557399	36557599	chr1	36342950	36343149
hCONDEL_102	chr1	36793089	36793289	chr1	36579463	36579662
hCONDEL_103	chr1	36899558	36899758	chr1	36685675	36685872
hCONDEL_104	chr1	37124955	37125155	chr1	36904480	36904679
hCONDEL_105	chr1	37227147	37227347	chr1	37006267	37006466
hCONDEL_106	chr1	37246519	37246719	chr1	37025387	37025586
hCONDEL_107	chr1	37393696	37393896	chr1	37172416	37172615
hCONDEL_108	chr1	37720151	37720351	chr1	37493251	37493449
hCONDEL_109	chr1	37723435	37723635	chr1	37496572	37496769
hCONDEL_110	chr1	37888731	37888931	chr1	37656972	37657171
hCONDEL_111	chr1	38330815	38331015	chr1	38093092	38093291
hCONDEL_112	chr1	38514582	38514782	chr1	38279314	38279510
hCONDEL_113	chr1	38539373	38539573	chr1	38304132	38304328
hCONDEL_114	chr1	38812575	38812775	chr1	38576692	38576891
hCONDEL_115	chr1	39518171	39518371	chr1	39255646	39255845
hCONDEL_116	chr1	39593087	39593287	chr1	39328361	39328556
hCONDEL_117	chr1	39679706	39679906	chr1	39414386	39414583
hCONDEL_118	chr1	40179905	40180105	chr1	39895459	39895658
hCONDEL_119	chr1	40703932	40704132	chr1	40411041	40411236
hCONDEL_120	chr1	40797412	40797612	chr1	40496299	40496498
hCONDEL_121	chr1	40865053	40865253	chr1	40563513	40563712
hCONDEL_122	chr1	41010455	41010655	chr1	40704453	40704652
hCONDEL_123	chr1	41082988	41083188	chr1	40777270	40777468
hCONDEL_124	chr1	41186579	41186779	chr1	40879152	40879349
hCONDEL_125	chr1	41561207	41561407	chr1	41245859	41246055
hCONDEL_126	chr1	42492508	42492708	chr1	42179193	42179388
hCONDEL_127	chr1	42865214	42865414	chr1	42545294	42545493
hCONDEL_128	chr1	43277042	43277242	chr1	42955073	42955267
hCONDEL_129	chr1	44620133	44620333	chr1	44289647	44289846
hCONDEL_130	chr1	44783800	44784000	chr1	44447217	44447416
hCONDEL_131	chr1	44963003	44963203	chr1	44624809	44625008
hCONDEL_132	chr1	45496635	45496835	chr1	45148224	45148420
hCONDEL_133	chr1	45545094	45545294	chr1	45200627	45200823
hCONDEL_134	chr1	46432499	46432699	chr1	46065942	46066141
hCONDEL_135	chr1	46663461	46663661	chr1	46296897	46297094
hCONDEL_136	chr1	47746739	47746939	chr1	47377984	47378183
hCONDEL_137	chr1	47812262	47812462	chr1	47443302	47443501
hCONDEL_138	chr1	48217836	48218036	chr1	47847730	47847928
hCONDEL_139	chr1	48343035	48343235	chr1	47971687	47971883
hCONDEL_140	chr1	48364734	48364934	chr1	47992106	47992305
hCONDEL_141	chr1	48891814	48892014	chr1	48533175	48533374
hCONDEL_142	chr1	49255915	49256115	chr1	48894141	48894340
hCONDEL_143	chr1	49429247	49429447	chr1	49065996	49066195
hCONDEL_144	chr1	49976667	49976867	chr1	49615432	49615630
hCONDEL_145	chr1	50242123	50242323	chr1	49883624	49883823
hCONDEL_146	chr1	50349052	50349252	chr1	49986920	49987116
hCONDEL_147	chr1	50446643	50446843	chr1	50083824	50084023
hCONDEL_148	chr1	50839085	50839285	chr1	50472929	50473127
hCONDEL_149	chr1	50879651	50879851	chr1	50513435	50513634
hCONDEL_150	chr1	50949489	50949689	chr1	50583674	50583873
hCONDEL_151	chr1	51069634	51069834	chr1	50702127	50702326
hCONDEL_152	chr1	51329831	51330031	chr1	50960232	50960431
hCONDEL_153	chr1	51851374	51851574	chr1	51472265	51472461
hCONDEL_154	chr1	52062319	52062519	chr1	51670107	51670306
hCONDEL_155	chr1	52067946	52068146	chr1	51675722	51675918
hCONDEL_156	chr1	52962463	52962663	chr1	52549502	52549698
hCONDEL_157	chr1	53067984	53068184	chr1	52651640	52651839
hCONDEL_158	chr1	53257758	53257958	chr1	52825035	52825231
hCONDEL_159	chr1	53399328	53399528	chr1	52956729	52956924
hCONDEL_160	chr1	54038697	54038897	chr1	53584998	53585197
hCONDEL_161	chr1	54192662	54192862	chr1	53732156	53732354
hCONDEL_162	chr1	54225181	54225381	chr1	53765069	53765266
hCONDEL_163	chr1	54566281	54566481	chr1	54088209	54088408
hCONDEL_164	chr1	54807972	54808172	chr1	54325498	54325694
hCONDEL_165	chr1	54821176	54821376	chr1	54338719	54338897
hCONDEL_166	chr1	55641617	55641817	chr1	55149017	55149213
hCONDEL_167	chr1	56146755	56146955	chr1	55646058	55646256
hCONDEL_168	chr1	56710225	56710425	chr1	56194990	56195189
hCONDEL_169	chr1	56741113	56741313	chr1	56225827	56226022
hCONDEL_170	chr1	57232379	57232579	chr1	56712862	56713059
hCONDEL_171	chr1	57334265	57334465	chr1	56812674	56812849
hCONDEL_172	chr1	58113898	58114098	chr1	57575080	57575279
hCONDEL_173	chr1	58441053	58441253	chr1	57898407	57898596
hCONDEL_174	chr1	58511136	58511336	chr1	57968239	57968435
hCONDEL_175	chr1	58538960	58539160	chr1	57995330	57995529
hCONDEL_176	chr1	58779994	58780194	chr1	58241102	58241297
hCONDEL_177	chr1	58823496	58823696	chr1	58291183	58291381
hCONDEL_178	chr1	58851101	58851301	chr1	58318842	58319041
hCONDEL_179	chr1	59026635	59026835	chr1	58500294	58500492
hCONDEL_180	chr1	59249830	59250030	chr1	58717076	58717275
hCONDEL_181	chr1	59316579	59316779	chr1	58779913	58780106
hCONDEL_182	chr1	59416668	59416868	chr1	58879311	58879510
hCONDEL_183	chr1	60036107	60036307	chr1	59485733	59485929
hCONDEL_184	chr1	60233009	60233209	chr1	59686307	59686506
hCONDEL_185	chr1	60650789	60650989	chr1	60102974	60103173
hCONDEL_186	chr1	60781302	60781502	chr1	60233820	60234014
hCONDEL_187	chr1	61438473	61438673	chr1	60892223	60892422
hCONDEL_188	chr1	61606617	61606817	chr1	61057258	61057457
hCONDEL_189	chr1	61639294	61639494	chr1	61089037	61089236
hCONDEL_190	chr1	61652553	61652753	chr1	61102313	61102511
hCONDEL_191	chr1	61675040	61675240	chr1	61124441	61124636
hCONDEL_192	chr1	61675706	61675906	chr1	61125102	61125301
hCONDEL_193	chr1	61708287	61708487	chr1	61157626	61157825
hCONDEL_194	chr1	61713520	61713720	chr1	61162837	61163033
hCONDEL_195	chr1	61741492	61741692	chr1	61190914	61191110
hCONDEL_196	chr1	61820325	61820525	chr1	61269904	61270103
hCONDEL_197	chr1	61973294	61973494	chr1	61418703	61418902
hCONDEL_198	chr1	62013352	62013552	chr1	61458788	61458987
hCONDEL_199	chr1	62013483	62013683	chr1	61458918	61459117
hCONDEL_200	chr1	62116043	62116243	chr1	61559214	61559413
hCONDEL_201	chr1	62682162	62682362	chr1	62111187	62111383
hCONDEL_202	chr1	63001352	63001552	chr1	62420952	62421150
hCONDEL_203	chr1	63031601	63031801	chr1	62451411	62451609
hCONDEL_204	chr1	63074273	63074473	chr1	62494115	62494314
hCONDEL_205	chr1	63381095	63381295	chr1	62795303	62795500
hCONDEL_206	chr1	63415996	63416196	chr1	62828695	62828894
hCONDEL_207	chr1	63417905	63418105	chr1	62830607	62830803
hCONDEL_208	chr1	63423680	63423880	chr1	62836375	62836574
hCONDEL_209	chr1	63655229	63655429	chr1	63069502	63069700
hCONDEL_210	chr1	63823274	63823474	chr1	63237051	63237250
hCONDEL_211	chr1	63830282	63830482	chr1	63246851	63247050
hCONDEL_212	chr1	63999696	63999896	chr1	63412673	63412869
hCONDEL_213	chr1	64000536	64000736	chr1	63413509	63413707
hCONDEL_214	chr1	64014597	64014797	chr1	63427239	63427435
hCONDEL_215	chr1	64037837	64038037	chr1	63450317	63450514
hCONDEL_216	chr1	64234380	64234580	chr1	63645356	63645555
hCONDEL_217	chr1	64347278	64347478	chr1	63758377	63758576
hCONDEL_218	chr1	64824544	64824744	chr1	64231492	64231686
hCONDEL_219	chr1	64828328	64828528	chr1	64235269	64235468
hCONDEL_220	chr1	65063731	65063931	chr1	64472934	64473132
hCONDEL_221	chr1	65139758	65139958	chr1	64549334	64549531
hCONDEL_222	chr1	65244285	65244485	chr1	64654450	64654649
hCONDEL_223	chr1	65725373	65725573	chr1	65134284	65134482
hCONDEL_224	chr1	65978306	65978506	chr1	65382717	65382915
hCONDEL_225	chr1	66010799	66010999	chr1	65414895	65415094
hCONDEL_226	chr1	66388975	66389175	chr1	65790918	65791114
hCONDEL_227	chr1	66579859	66580059	chr1	65978572	65978769
hCONDEL_228	chr1	66580508	66580708	chr1	65979218	65979417
hCONDEL_229	chr1	66689224	66689424	chr1	66085525	66085724
hCONDEL_230	chr1	66753600	66753800	chr1	66149370	66149569
hCONDEL_231	chr1	67146976	67147176	chr1	66535695	66535891
hCONDEL_232	chr1	67659698	67659898	chr1	67039343	67039540
hCONDEL_233	chr1	68189653	68189853	chr1	67566473	67566672
hCONDEL_234	chr1	68327304	68327504	chr1	67702917	67703116
hCONDEL_235	chr1	68671569	68671769	chr1	68046095	68046291
hCONDEL_236	chr1	68821138	68821338	chr1	68194935	68195134
hCONDEL_237	chr1	69004694	69004894	chr1	68376416	68376611
hCONDEL_238	chr1	69419395	69419595	chr1	68793775	68793973
hCONDEL_239	chr1	69424002	69424202	chr1	68798384	68798583
hCONDEL_240	chr1	69448058	69448258	chr1	68822452	68822648
hCONDEL_241	chr1	70659271	70659471	chr1	70022666	70022862
hCONDEL_242	chr1	71939207	71939407	chr1	71311164	71311363
hCONDEL_243	chr1	71979824	71980024	chr1	71351243	71351441
hCONDEL_244	chr1	71998034	71998234	chr1	71369348	71369546
hCONDEL_245	chr1	72034170	72034370	chr1	71405850	71406049
hCONDEL_246	chr1	72100188	72100388	chr1	71468660	71468857
hCONDEL_247	chr1	72121452	72121652	chr1	71489940	71490138
hCONDEL_248	chr1	72220545	72220745	chr1	71594626	71594825
hCONDEL_249	chr1	72441983	72442183	chr1	71806317	71806516
hCONDEL_250	chr1	72444241	72444441	chr1	71808564	71808756
hCONDEL_251	chr1	72464103	72464303	chr1	71828510	71828707
hCONDEL_252	chr1	72690260	72690460	chr1	72056572	72056770
hCONDEL_253	chr1	73426836	73427036	chr1	72772792	72772991
hCONDEL_254	chr1	73568937	73569137	chr1	72915284	72915480
hCONDEL_255	chr1	73714074	73714274	chr1	73065323	73065522
hCONDEL_256	chr1	74010839	74011039	chr1	73350361	73350560
hCONDEL_257	chr1	74112671	74112871	chr1	73451132	73451331
hCONDEL_258	chr1	74160735	74160935	chr1	73499756	73499954
hCONDEL_259	chr1	74469407	74469607	chr1	73802244	73802443
hCONDEL_260	chr1	74557959	74558159	chr1	73891155	73891354
hCONDEL_261	chr1	74590531	74590731	chr1	73925196	73925395
hCONDEL_262	chr1	74888354	74888554	chr1	74219409	74219608
hCONDEL_263	chr1	75458084	75458284	chr1	74790944	74791141
hCONDEL_264	chr1	75628466	75628666	chr1	74964748	74964947
hCONDEL_265	chr1	75798457	75798657	chr1	75134187	75134386
hCONDEL_266	chr1	76148667	76148867	chr1	75488726	75488925
hCONDEL_267	chr1	76843353	76843553	chr1	76180290	76180487
hCONDEL_268	chr1	77127836	77128036	chr1	76464157	76464355
hCONDEL_269	chr1	77145086	77145286	chr1	76481401	76481600
hCONDEL_270	chr1	77168811	77169011	chr1	76505705	76505904
hCONDEL_271	chr1	77286619	77286819	chr1	76624002	76624201
hCONDEL_272	chr1	78181797	78181997	chr1	77507793	77507992
hCONDEL_273	chr1	78315508	78315708	chr1	77639501	77639699
hCONDEL_274	chr1	78332127	78332327	chr1	77656153	77656349
hCONDEL_275	chr1	78345995	78346195	chr1	77669279	77669478
hCONDEL_276	chr1	78484384	78484584	chr1	77801446	77801638
hCONDEL_277	chr1	78631007	78631207	chr1	77948120	77948319
hCONDEL_278	chr1	78813597	78813797	chr1	78125773	78125972
hCONDEL_279	chr1	78912503	78912703	chr1	78222214	78222410
hCONDEL_280	chr1	79147561	79147761	chr1	78457779	78457978
hCONDEL_281	chr1	79284570	79284770	chr1	78601268	78601464
hCONDEL_282	chr1	79523925	79524125	chr1	78831452	78831651
hCONDEL_283	chr1	80120987	80121187	chr1	79433161	79433360
hCONDEL_284	chr1	80131544	80131744	chr1	79443739	79443935
hCONDEL_285	chr1	80135719	80135919	chr1	79447907	79448101
hCONDEL_286	chr1	80205011	80205211	chr1	79519111	79519309
hCONDEL_287	chr1	80607603	80607803	chr1	79921656	79921855
hCONDEL_288	chr1	80966567	80966767	chr1	80278891	80279090
hCONDEL_289	chr1	81074243	81074443	chr1	80380674	80380872
hCONDEL_290	chr1	81147298	81147498	chr1	80453857	80454054
hCONDEL_291	chr1	81232486	81232686	chr1	80537384	80537581
hCONDEL_292	chr1	81275875	81276075	chr1	80580750	80580946
hCONDEL_293	chr1	81565170	81565370	chr1	80868687	80868885
hCONDEL_294	chr1	81595951	81596151	chr1	80899449	80899646
hCONDEL_295	chr1	81850840	81851040	chr1	81158569	81158768
hCONDEL_296	chr1	81921496	81921696	chr1	81229240	81229437
hCONDEL_297	chr1	81950643	81950843	chr1	81263548	81263747
hCONDEL_298	chr1	81999266	81999466	chr1	81310476	81310673
hCONDEL_299	chr1	82059506	82059706	chr1	81369775	81369974
hCONDEL_300	chr1	82157852	82158052	chr1	81461113	81461311
hCONDEL_301	chr1	82229525	82229725	chr1	81537019	81537210
hCONDEL_302	chr1	82244472	82244672	chr1	81551949	81552148
hCONDEL_303	chr1	82298401	82298601	chr1	81605688	81605886
hCONDEL_304	chr1	82345603	82345803	chr1	81647804	81648003
hCONDEL_305	chr1	82365254	82365454	chr1	81664384	81664582
hCONDEL_306	chr1	82433472	82433672	chr1	81729339	81729538
hCONDEL_307	chr1	82464654	82464854	chr1	81760354	81760553
hCONDEL_308	chr1	82590565	82590765	chr1	81885682	81885880
hCONDEL_309	chr1	82672563	82672763	chr1	81967643	81967839
hCONDEL_310	chr1	82685248	82685448	chr1	81980309	81980505
hCONDEL_311	chr1	82723410	82723610	chr1	82018975	82019174
hCONDEL_312	chr1	82737911	82738111	chr1	82033271	82033470
hCONDEL_313	chr1	82927812	82928012	chr1	82218912	82219111
hCONDEL_314	chr1	82962567	82962767	chr1	82256572	82256770
hCONDEL_315	chr1	83032143	83032343	chr1	82323545	82323744
hCONDEL_316	chr1	83092020	83092220	chr1	82388438	82388637
hCONDEL_317	chr1	83104176	83104376	chr1	82400586	82400784
hCONDEL_318	chr1	83179988	83180188	chr1	82473491	82473689
hCONDEL_319	chr1	83273559	83273759	chr1	82567654	82567853
hCONDEL_320	chr1	83558285	83558485	chr1	82854051	82854249
hCONDEL_321	chr1	83635793	83635993	chr1	82927464	82927663
hCONDEL_322	chr1	83710120	83710320	chr1	83002403	83002602
hCONDEL_323	chr1	83714197	83714397	chr1	83006478	83006677
hCONDEL_324	chr1	83748558	83748758	chr1	83040876	83041075
hCONDEL_325	chr1	83762578	83762778	chr1	83054909	83055108
hCONDEL_326	chr1	83768386	83768586	chr1	83060708	83060907
hCONDEL_327	chr1	84271062	84271262	chr1	83545346	83545543
hCONDEL_328	chr1	84273638	84273838	chr1	83547926	83548125
hCONDEL_329	chr1	84347627	84347827	chr1	83616730	83616928
hCONDEL_330	chr1	84869785	84869985	chr1	84146745	84146944
hCONDEL_331	chr1	85012213	85012413	chr1	84286647	84286846
hCONDEL_332	chr1	85025831	85026031	chr1	84301797	84301987
hCONDEL_333	chr1	85103184	85103384	chr1	84379188	84379386
hCONDEL_334	chr1	85230742	85230942	chr1	84503962	84504158
hCONDEL_335	chr1	85252741	85252941	chr1	84525806	84526003
hCONDEL_336	chr1	85524966	85525166	chr1	84796551	84796750
hCONDEL_337	chr1	86146002	86146202	chr1	85403884	85404083
hCONDEL_338	chr1	86429719	86429919	chr1	85678888	85679085
hCONDEL_339	chr1	86429786	86429986	chr1	85678952	85679150
hCONDEL_340	chr1	86440250	86440450	chr1	85689425	85689620
hCONDEL_341	chr1	86649109	86649309	chr1	85907167	85907366
hCONDEL_342	chr1	86717555	86717755	chr1	85987499	85987693
hCONDEL_343	chr1	86725070	86725270	chr1	85994591	85994790
hCONDEL_344	chr1	87556714	87556914	chr1	86822182	86822379
hCONDEL_345	chr1	87599744	87599944	chr1	86864477	86864676
hCONDEL_346	chr1	87610534	87610734	chr1	86875310	86875509
hCONDEL_347	chr1	87738581	87738781	chr1	87005330	87005528
hCONDEL_348	chr1	87844176	87844376	chr1	87107493	87107688
hCONDEL_349	chr1	87978826	87979026	chr1	87239028	87239227
hCONDEL_350	chr1	88062604	88062804	chr1	87323135	87323334
hCONDEL_351	chr1	88074026	88074226	chr1	87334535	87334734
hCONDEL_352	chr1	88531358	88531558	chr1	87744821	87745017
hCONDEL_353	chr1	88676781	88676981	chr1	87889672	87889870
hCONDEL_354	chr1	88725247	88725447	chr1	87937707	87937903
hCONDEL_355	chr1	88802632	88802832	chr1	88014533	88014732
hCONDEL_356	chr1	89023150	89023350	chr1	88236016	88236210
hCONDEL_357	chr1	89025617	89025817	chr1	88238481	88238680
hCONDEL_358	chr1	89026227	89026427	chr1	88239090	88239289
hCONDEL_359	chr1	89049098	89049298	chr1	88261951	88262149
hCONDEL_360	chr1	89334923	89335123	chr1	88549530	88549729
hCONDEL_361	chr1	89347020	89347220	chr1	88561627	88561826
hCONDEL_362	chr1	89671498	89671698	chr1	88877429	88877625
hCONDEL_363	chr1	89779017	89779217	chr1	88982718	88982915
hCONDEL_364	chr1	90716442	90716642	chr1	89965315	89965514
hCONDEL_365	chr1	90759817	90760017	chr1	90007894	90008093
hCONDEL_366	chr1	91021802	91022002	chr1	90263364	90263563
hCONDEL_367	chr1	91034359	91034559	chr1	90275925	90276120
hCONDEL_368	chr1	91057042	91057242	chr1	90298488	90298687
hCONDEL_369	chr1	91194533	91194733	chr1	90435166	90435365
hCONDEL_370	chr1	91320028	91320228	chr1	90562873	90563072
hCONDEL_371	chr1	91472597	91472797	chr1	90711779	90711975
hCONDEL_372	chr1	91512155	91512355	chr1	90751065	90751259
hCONDEL_373	chr1	91968282	91968482	chr1	91200497	91200696
hCONDEL_374	chr1	92903688	92903888	chr1	92135522	92135721
hCONDEL_375	chr1	92955662	92955862	chr1	92188656	92188854
hCONDEL_376	chr1	93010630	93010830	chr1	92242448	92242644
hCONDEL_377	chr1	93013901	93014101	chr1	92245685	92245883
hCONDEL_378	chr1	93035111	93035311	chr1	92266499	92266695
hCONDEL_379	chr1	93041624	93041824	chr1	92272360	92272558
hCONDEL_380	chr1	93058239	93058439	chr1	92287923	92288120
hCONDEL_381	chr1	93068185	93068385	chr1	92297853	92298048
hCONDEL_382	chr1	93433902	93434102	chr1	92662507	92662703
hCONDEL_383	chr1	93778221	93778421	chr1	93000632	93000831
hCONDEL_384	chr1	93856671	93856871	chr1	93086675	93086869
hCONDEL_385	chr1	93979158	93979358	chr1	93207827	93208017
hCONDEL_386	chr1	94135502	94135702	chr1	93361592	93361789
hCONDEL_387	chr1	94296971	94297171	chr1	93522742	93522941
hCONDEL_388	chr1	94311150	94311350	chr1	93536837	93537035
hCONDEL_389	chr1	94327910	94328110	chr1	93553092	93553290
hCONDEL_390	chr1	94858724	94858924	chr1	94094757	94094956
hCONDEL_391	chr1	94911711	94911911	chr1	94147963	94148161
hCONDEL_392	chr1	94911766	94911966	chr1	94148016	94148213
hCONDEL_393	chr1	95238535	95238735	chr1	94472061	94472260
hCONDEL_394	chr1	95297020	95297220	chr1	94529243	94529438
hCONDEL_395	chr1	95740828	95741028	chr1	94965986	94966181
hCONDEL_396	chr1	95970095	95970295	chr1	95193304	95193500
hCONDEL_397	chr1	95971331	95971531	chr1	95194533	95194730
hCONDEL_398	chr1	95972860	95973060	chr1	95196059	95196257
hCONDEL_399	chr1	96047383	96047583	chr1	95269145	95269343
hCONDEL_400	chr1	96080247	96080447	chr1	95301555	95301754
hCONDEL_401	chr1	96145870	96146070	chr1	95367007	95367206
hCONDEL_402	chr1	96469904	96470104	chr1	95675241	95675438
hCONDEL_403	chr1	96494040	96494240	chr1	95699196	95699395
hCONDEL_404	chr1	96544984	96545184	chr1	95750026	95750222
hCONDEL_405	chr1	96684696	96684896	chr1	95887932	95888130
hCONDEL_406	chr1	96765637	96765837	chr1	95967106	95967305
hCONDEL_407	chr1	96832875	96833075	chr1	96034060	96034250
hCONDEL_408	chr1	96895711	96895911	chr1	96095982	96096163
hCONDEL_409	chr1	96996472	96996672	chr1	96197002	96197199
hCONDEL_410	chr1	97007495	97007695	chr1	96208023	96208221
hCONDEL_411	chr1	97008313	97008513	chr1	96208838	96209037
hCONDEL_412	chr1	97022314	97022514	chr1	96222843	96223041
hCONDEL_413	chr1	97052749	97052949	chr1	96253624	96253823
hCONDEL_414	chr1	97155905	97156105	chr1	96356047	96356246
hCONDEL_415	chr1	97295703	97295903	chr1	96497788	96497986
hCONDEL_416	chr1	97380833	97381033	chr1	96582358	96582555
hCONDEL_417	chr1	97421224	97421424	chr1	96625660	96625858
hCONDEL_418	chr1	97480162	97480362	chr1	96685438	96685637
